Date,BTC-open,BTC-high,BTC-low,BTC-close,BTC-vol,BTC-marcap,ETH-open,ETH-high,ETH-low,ETH-close,ETH-vol,ETH-marcap
10-Sep-20,"10,242.33","10,503.91","10,238.14","10,363.14","54,406,443,211","191,568,387,062",351.43,377.39,351.11,368.1,"31,421,134,556","41,430,053,162"
9-Sep-20,"10,134.15","10,350.54","10,017.25","10,242.35","24,128,292,755","189,325,507,175",337.82,359.16,332.16,351.11,"14,547,933,520","39,512,826,170"
8-Sep-20,"10,369.31","10,414.78","9,945.11","10,131.52","33,430,927,462","187,267,336,728",353.2,355.56,328.82,337.6,"17,991,403,432","37,988,119,627"
7-Sep-20,"10,281.00","10,399.15","9,916.49","10,369.56","33,703,098,409","191,657,203,885",353.45,358.21,326.25,352.67,"21,763,614,732","39,679,199,320"
6-Sep-20,"10,167.22","10,353.93","10,056.89","10,280.35","37,071,460,174","189,997,214,393",335.33,359.76,319.04,353.36,"27,643,678,917","39,751,917,523"
5-Sep-20,"10,512.53","10,581.57","9,946.68","10,169.57","44,916,565,292","187,940,141,276",388.04,394.17,316.77,335.26,"29,880,047,640","37,710,860,058"
4-Sep-20,"10,230.37","10,663.92","10,207.94","10,511.81","29,965,130,374","194,255,818,704",384.67,402.41,371.64,388.24,"16,747,106,257","43,665,020,996"
3-Sep-20,"11,407.19","11,443.02","10,182.47","10,245.30","31,927,261,555","189,322,069,063",440.24,449.53,381.13,385.67,"19,622,845,896","43,370,721,326"
2-Sep-20,"11,964.82","11,964.82","11,290.79","11,414.03","28,037,405,299","210,909,793,681",477.01,480.33,424.46,440.04,"19,691,854,014","49,478,789,435"
1-Sep-20,"11,679.32","12,067.08","11,601.13","11,970.48","27,311,555,343","221,181,001,607",434.87,487.21,432.08,477.05,"18,862,763,756","53,633,933,560"
31-Aug-20,"11,713.31","11,768.88","11,598.32","11,680.82","22,285,928,250","215,817,677,822",428.51,438.56,419.77,435.08,"12,774,741,797","48,909,170,052"
30-Aug-20,"11,508.71","11,715.26","11,492.38","11,711.51","19,760,127,945","216,373,660,045",399.62,428.66,399.61,428.4,"11,211,948,040","48,151,884,394"
29-Aug-20,"11,541.05","11,585.64","11,466.29","11,506.87","17,485,597,759","212,583,870,983",395.69,405.62,393.04,399.92,"8,777,703,481","44,945,899,480"
28-Aug-20,"11,325.30","11,545.62","11,316.42","11,542.50","19,807,127,588","213,231,661,583",382.63,397.76,381.27,395.87,"9,120,674,421","44,485,705,032"
27-Aug-20,"11,485.61","11,570.79","11,185.94","11,323.40","23,240,415,076","209,172,436,817",386.61,395.35,374.87,382.63,"10,457,777,652","42,992,439,543"
26-Aug-20,"11,366.89","11,530.05","11,296.99","11,488.36","22,466,660,958","212,210,534,428",383.98,391.87,378.71,386.47,"9,967,343,483","43,417,926,668"
25-Aug-20,"11,773.59","11,778.30","11,189.85","11,366.14","26,301,509,932","209,942,744,481",408.07,408.53,374.36,384,"12,428,442,042","43,135,697,974"
24-Aug-20,"11,663.69","11,807.63","11,623.25","11,774.60","20,681,511,755","217,477,962,650",391.68,409.39,389.31,408.14,"10,328,860,398","45,842,265,023"
23-Aug-20,"11,679.70","11,713.43","11,559.92","11,664.85","18,482,062,658","215,439,967,321",395.56,396.49,385.04,391.38,"8,137,303,970","43,954,518,396"
